country_id,google_maps_url,openstreetmaps_url
96,https://goo.gl/maps/HjgWDCNKRAYHrkMn8,openstreetmap.org/relation/54224
97,https://goo.gl/maps/M26BqdwQctqxXS65A,https://www.openstreetmap.org/relation/195272
98,https://goo.gl/maps/CSbe7UmxPmiwQB7GA,https://www.openstreetmap.org/relation/537257
99,https://goo.gl/maps/9DfnyfbxNM2g5U9b9,https://www.openstreetmap.org/relation/252645
100,https://goo.gl/maps/H8gJi5mL4Cmd1SF28,https://www.openstreetmap.org/relation/2093234
101,https://goo.gl/maps/9gfPupm5bffixiFJ6,https://www.openstreetmap.org/relation/21335
102,https://goo.gl/maps/cgfUcaQHSWKuqeKk9,https://www.openstreetmap.org/relation/223026
103,https://goo.gl/maps/htWRrphA7vNgQNdSA,https://www.openstreetmap.org/relation/2978650
104,https://goo.gl/maps/uDWEUaXNcZTng1fP6,https://www.openstreetmap.org/relation/288247
105,https://goo.gl/maps/1dDw1QfZspfMUTm99,https://www.openstreetmap.org/relation/307833
106,https://goo.gl/maps/dd1s9rrLjrK2G8yY6,https://www.openstreetmap.org/relation/72596
107,https://goo.gl/maps/qiaVwcLVTXX3eoTNA,https://www.openstreetmap.org/relation/536899
108,https://goo.gl/maps/6kXnQU5QvEZMD9VB7,https://www.openstreetmap.org/relation/270009
109,https://goo.gl/maps/PpKtZ4W3tir5iGrz7,https://www.openstreetmap.org/relation/535828
110,https://goo.gl/maps/5PSjvdJ1AyaLFRrG9,https://www.openstreetmap.org/relation/307584
111,https://goo.gl/maps/9D3hTeA3qKaRT7S16,https://www.openstreetmap.org/relation/1216719
112,https://goo.gl/maps/uMw1BsHEXQYgVFFu6,https://www.openstreetmap.org/relation/192784
113,https://goo.gl/maps/uNSH2wW4bLoZVYJj7,https://www.openstreetmap.org/relation/14296
114,https://goo.gl/maps/bheNucgekVEYozoi6,https://www.openstreetmap.org/relation/1993867
115,https://goo.gl/maps/LbuUxtkgm1dfN1Pn6,https://www.openstreetmap.org/relation/2177266
116,https://goo.gl/maps/j3289UPEQXt1ceSy8,https://www.openstreetmap.org/relation/2184073
117,https://goo.gl/maps/Kc9vy5ChjuiAgMfXA,https://www.openstreetmap.org/relation/535774
118,https://goo.gl/maps/AJpo6MjMx23qSWCz8,https://www.openstreetmap.org/relation/196240
119,https://goo.gl/maps/iqygE491ADVgnBW39,https://www.openstreetmap.org/relation/52822
120,https://goo.gl/maps/op6gmLbHcvv6rLhH6,https://www.openstreetmap.org/relation/184640
121,https://goo.gl/maps/HgMKFQjNadF3Wa6B6,https://www.openstreetmap.org/relation/449220
122,https://goo.gl/maps/8M1K27TDj7StTRTq8,https://www.openstreetmap.org/relation/365331
123,https://goo.gl/maps/ziUdAZ8skuNfx5Hx7,https://www.openstreetmap.org/relation/2361304
124,https://goo.gl/maps/Xe3VnFbwdb4nv2SM9,https://www.openstreetmap.org/relation/184840
125,https://goo.gl/maps/XboxyNHh2fAjCPNn9,https://www.openstreetmap.org/relation/167454
126,https://goo.gl/maps/o5f1uD5nyihCL3HCA,https://www.openstreetmap.org/relation/192775
127,https://goo.gl/maps/rKRmpcMbFher2ozb7,https://www.openstreetmap.org/relation/192783
128,https://goo.gl/maps/845hAgCf1mDkN3vr7,https://www.openstreetmap.org/relation/90689
129,https://goo.gl/maps/waCKk21HeeqFzkNC9,https://www.openstreetmap.org/relation/59470
130,https://goo.gl/maps/1e7MXmfBwQv3TQGF7,https://www.openstreetmap.org/relation/1259885
131,https://goo.gl/maps/HSKdHYpFC8oHHuyV7,https://www.openstreetmap.org/relation/307823
132,https://goo.gl/maps/6SsynwGUodL1sDvq8,https://www.openstreetmap.org/relation/79510
133,https://goo.gl/maps/jzAa9feXuXPrKVb89,https://www.openstreetmap.org/relation/192782
134,https://goo.gl/maps/nztQtFSrUXZymJaW8,https://www.openstreetmap.org/relation/49898
135,https://goo.gl/maps/soxooTHxEeiAbn3UA,https://www.openstreetmap.org/relation/307828
136,https://goo.gl/maps/pbvtm6XYd1iZbjky5,https://www.openstreetmap.org/relation/2574988
137,https://goo.gl/maps/jmEVLugreeqiZXxbA,https://www.openstreetmap.org/relation/1428125
138,https://goo.gl/maps/6ua6CX1m4w1xF2Em7,https://www.openstreetmap.org/relation/2186658
